45,23
77,4
59,48
62,23
43,58
72,51
79,6
63,4
19,36
12,57
7,11
6,2
27,20
58,8
74,8
13,12
25,8
49,17
75,33
53,19
72,28
68,12
43,36
36,31
43,42
42,5
45,23
51,12
75,41
59,25
13,20
29,26
25,18
26,26
47,6
49,17
27,38
15,43
47,10
12,59
73,17
76,49
21,59
50,55
1,58
54,4
40,14
6,52
43,39
40,57
78,5
33,1
67,40
53,53
67,48
69,31
71,38
36,15
41,60
22,24
19,7
54,48
70,30
45,36
58,1
6,36
32,31
70,57
4,49
46,34
70,16
56,14
26,54
50,24
3,2
26,36
12,59
53,42
19,24
15,16
79,38
53,56
61,40
63,41
27,56
33,60
59,4
24,9
52,49
18,45
34,47
62,1
52,52
16,60
79,50
64,7
25,34
2,10
66,4
43,29
43,27
44,10
42,56
63,58
40,18
64,1
79,7
54,46
1,24
13,14
67,18
65,60
38,7
34,19
9,21
74,42
79,35
64,8
80,29
3,41
28,60
26,33
46,58
8,6
71,37
78,1
48,49
41,5
42,11
56,47
64,37
46,38
23,45
6,25
2,20
26,15
60,41
45,41
26,1
6,35
65,29
19,41
39,35
37,22
11,15
33,38
53,38
52,53
54,33
52,14
80,29
55,43
53,55
30,20
31,38
39,11
10,10
31,60
25,35
35,51
7,25
30,47
63,42
72,32
31,50
61,47
63,12
15,13
75,7
63,38
21,28
18,60
16,37
69,33
67,40
78,35
79,9
62,10
25,18
41,12
16,17
47,52
43,41
77,47
42,32
43,40
42,58
33,47
47,43
19,13
4,7
35,60
35,34
69,55
58,26
16,17
29,19
60,38
70,37
15,46
41,1
76,56
68,39
16,35
40,9
58,6
28,42
52,50
50,18
42,23
80,47
70,18
4,30
56,19
26,25
54,5
45,26
11,11
21,3
76,30
70,57
26,29
34,13
66,49
61,19
4,24
66,49
52,48
14,6
39,12
24,35
50,57
26,36
41,60
46,32
16,52
20,46
23,18
22,14
11,24
43,57
64,34
69,55
52,35
23,35
73,21
34,48
80,35
9,22
34,15
26,33
4,11
23,22
10,23
74,45
17,54
56,4
72,30
66,26
44,49
74,17
73,21
59,43
4,3
29,11
4,45
7,46
13,41
6,57
65,37
74,20
63,29
33,1
17,34
26,59
31,17
48,21
34,39
71,2
46,14
70,60
39,58
25,13
67,13
22,27
16,24
19,9
4,23
7,23
30,28
79,36
73,32
53,39
47,40
72,42
3,50
7,21
37,46
40,59
58,58
63,30
2,17
26,50
3,44
12,54
14,7
24,32
14,22
44,39
42,43
54,25
6,4
73,26
76,34
75,16
14,7
41,60
72,33
5,55
42,49
18,1
25,4
29,37
67,53
41,48
49,19
75,57
56,41
33,11
69,16
62,16
42,5
67,3
49,19
51,39
14,42
62,2
57,49
10,48
27,38
3,19
9,48
34,10
56,39
43,40
48,50
24,46
54,8
61,42
19,3
48,4
40,18
61,19
51,58
7,42
62,22
71,23
46,30
61,20
6,57
49,25
29,5
52,58
45,55
5,20
34,25
19,11
2,17
25,26
60,56
45,43
17,55
47,3
23,50
7,51
43,12
9,20
5,34
15,23
60,30
27,1
75,52
53,47
31,42
65,57
72,43
49,49
50,31
54,21
7,44
72,53
3,3
63,53
67,27
52,39
76,52
80,2
19,35
50,4
30,37
61,56
66,40
35,14
15,59
60,24
31,54
12,58
53,27
9,33
42,45
40,41
67,19
65,44
21,22
5,22
71,50
42,8
16,37
46,24
24,3
75,50
47,43
69,10
33,48
49,51
20,26
10,36
6,40
5,1
62,36
23,49
10,32
55,33
77,48
54,26
26,47
11,33
44,33
54,57
10,15
32,25
24,35
69,25
63,11
29,24
40,11
77,10
54,54
28,55
42,16
80,25
56,10
36,17
11,43
56,2
24,47
79,26
45,22
65,53
38,41
33,9
18,43
60,5
71,6
63,56
38,41
23,40
14,25
12,20
31,25
30,56
32,55
57,45
39,47
76,18
18,42
69,29
29,15
7,52
57,38
38,37
75,16
74,40
32,34
63,28
32,27
28,24
45,40
58,26
63,58
58,29
46,49
1,23
28,1
34,46
79,34
64,22
38,42
47,17
75,58
61,34
75,23
24,26
38,6
67,31
34,18
71,19
39,9
56,51
32,3
72,44
22,3
25,28
32,2
66,55
10,25
20,45
19,38
33,6
24,57
46,32
72,26
63,19
32,50
7,44
59,36
53,15
35,26
72,39
51,53
46,50
70,3
6,47
65,14
79,46
46,15
49,60
41,3
72,15
27,47
75,21
13,55
24,16
39,54
74,9
78,43
3,52
74,52
64,8
62,5
66,59
41,21
70,18
79,38
22,49
54,28
7,24
32,1
35,16
21,13
77,44
29,56
27,19
76,16
47,16
21,29
80,11
43,38
10,3
20,5
33,22
18,28
37,19
41,51
37,11
75,59
46,39
68,37
63,46
34,17
58,4
13,13
80,52
33,33
58,56
79,37
50,3
4,6
65,15
71,21
40,5
57,25
26,15
59,40
80,45
68,10
13,13
19,55
1,23
80,37
19,21
16,51
12,32
79,12
61,38
53,31
28,19
42,59
60,58
27,5
75,20
50,25
40,13
50,47
13,40
13,36
48,27
22,57
71,16
17,38
40,28
33,59
51,52
67,1
72,12
46,31
40,31
72,20
32,47
28,12
49,18
47,55
46,51
57,13
5,45
23,17
53,34
80,26
51,45
67,2
34,37
46,19
55,40
69,60
13,8
55,34
75,32
51,37
56,20
54,58
12,18
56,10
55,5
14,46
13,55
8,52
67,14
2,44
39,28
14,13
57,35
42,18
43,11
56,19
58,34
66,10
64,3
60,24
18,26
4,26
26,7
45,39
43,8
19,11
11,12
35,43
31,22
65,26
35,33
15,20
56,9
54,46
15,53
15,51
28,60
7,23
48,59
10,35
56,40
9,52
37,32
33,43
46,26
75,30
76,22
10,39
43,24
80,8
76,39
54,50
39,24
7,52
28,41
47,28
10,44
50,15
13,36
65,58
3,31
14,19
46,21
66,31
5,41
51,12
57,24
68,59
51,40
43,30
60,55
47,13
22,54
26,7
8,53
1,43
73,43
1,19
15,35
6,20
52,4
21,4
41,40
19,38
46,15
9,28
34,38
52,19
37,29
59,60
65,42
7,1
4,8
27,56
62,59
36,33
45,47
39,58
23,51
47,43
58,33
76,38
10,19
18,23
25,4
34,34
63,32
58,23
19,6
9,16
17,5
5,4
39,11
33,7
66,24
20,23
22,13
3,34
27,40
80,50
24,5
71,13
35,16
21,7
64,49
26,31
27,10
38,31
8,42
27,47
1,9
76,10
63,14
45,29
25,14
44,43
50,52
18,2
72,46
28,32
49,17
3,41
14,18
54,54
58,20
1,31
28,45
66,13
72,28
61,44
16,31
73,37
72,36
41,38
69,11
66,19
65,25
42,58
57,31
28,24
11,35
9,53
19,15
65,26
9,59
69,55
74,58
40,17
48,21
21,59
36,35
2,39
67,29
47,11
12,22
29,12
46,32
7,45
39,37
75,23
67,17
33,42
28,19
78,38
45,44
6,46
12,19
9,39
6,2
39,22
39,17
51,5
15,22
42,2
60,7
60,34
30,47
1,56
73,31
30,57
46,22
26,11
20,1
54,30
7,17
77,54
11,17
9,30
3,27
54,16
5,47
8,60
27,41
73,58
69,45
16,11
17,14
56,48
42,13
67,16
39,5
51,16
35,40
2,52
77,59
50,52
20,57
27,33
34,14
74,9
54,55
65,13
52,51
4,16
38,30
70,6
35,37
27,18
38,50
21,22
35,56
3,16
46,47
8,51
5,27
44,58
7,54
65,26
33,5
13,57
66,38
9,44
17,35
21,38
17,43
59,49
26,1
46,1
79,52
78,12
48,30
68,8
32,54
4,28
73,31
41,42
16,26
77,34
2,12
19,28
7,20
9,25
30,4
69,16
25,58
23,10
70,19
10,56
2,13
33,32
34,40
10,60
8,47
13,14
66,23
59,21
34,25
64,1
18,2
66,50
21,10
1,28
71,21
46,37
50,56
80,10
52,22
34,22
28,35
34,32
18,47
49,36
11,40
35,34
10,46
69,41
64,17
27,26
57,59
11,19
47,38
46,19
69,29
55,9
18,33
52,36
50,39
60,12
14,42
61,47
73,44
32,1
70,43
45,29
25,5
14,6
3,33
55,11
3,3
13,39
36,11
74,17
48,31
63,20
50,6
59,60
27,46
12,54
67,28
45,7
79,12
69,11
20,15
73,28
49,51
65,22
18,15
78,20
57,22
78,44
45,31
19,59
